서울특별시 노원구 상계동,116,서울특별시 동대문구 청량리동,9,,,서울특별시 노원구 중계동,20
서울특별시 노원구 월계동,24,서울특별시 동대문구 회기동,8,,,서울특별시 노원구 하계동,10
서울특별시 노원구 중계동,64,서울특별시 동대문구 휘경동,8,,,서울특별시 도봉구 도봉동,35
서울특별시 노원구 하계동,29,서울특별시 동작구 노량진동,11,,,서울특별시 도봉구 방학동,39
서울특별시 도봉구 도봉동,36,서울특별시 동작구 대방동,11,,,서울특별시 도봉구 쌍문동,32
서울특별시 도봉구 방학동,66,서울특별시 동작구 사당동,12,,,서울특별시 도봉구 창동,32
서울특별시 도봉구 쌍문동,23,서울특별시 동작구 상도동,13,,,서울특별시 동대문구 답십리동,14
서울특별시 도봉구 창동,74,서울특별시 마포구 공덕동,21,,,서울특별시 동대문구 신설동,34
서울특별시 동대문구 답십리동,78,서울특별시 마포구 대흥동,12,,,서울특별시 동대문구 용두동,44
서울특별시 동대문구 신설동,10,서울특별시 마포구 도화동,7,,,서울특별시 동대문구 이문동,34
서울특별시 동대문구 용두동,116,서울특별시 마포구 동교동,5,,,서울특별시 동대문구 장안동,31
서울특별시 동대문구 이문동,6,서울특별시 마포구 신수동,11,,,서울특별시 동대문구 전농동,54
서울특별시 동대문구 장안동,151,서울특별시 서대문구 남가좌동,9,,,서울특별시 동대문구 제기동,104
서울특별시 동대문구 전농동,34,서울특별시 서대문구 냉천동,7,,,서울특별시 동대문구 청량리동,57
서울특별시 동대문구 제기동,101,서울특별시 서대문구 대현동,6,,,서울특별시 동대문구 회기동,11
서울특별시 동대문구 청량리동,16,서울특별시 서대문구 북가좌동,4,,,서울특별시 동대문구 휘경동,34
서울특별시 동대문구 회기동,6,서울특별시 서대문구 신촌동,7,,,서울특별시 동작구 노량진동,8
서울특별시 동대문구 휘경동,33,서울특별시 서대문구 연희동,4,,,서울특별시 동작구 대방동,22
서울특별시 동작구 노량진동,22,서울특별시 서대문구 영천동,8,,,서울특별시 동작구 사당동,32
서울특별시 동작구 대방동,7,서울특별시 서대문구 창천동,11,,,서울특별시 동작구 상도1동,7
서울특별시 동작구 동작동,10,서울특별시 서대문구 천연동,8,,,서울특별시 동작구 상도동,86
서울특별시 동작구 본동,33,서울특별시 서대문구 현저동,8,,,서울특별시 동작구 흑석동,25
서울특별시 동작구 사당동,22,서울특별시 서대문구 홍은동,9,,,서울특별시 마포구 구수동,4
서울특별시 동작구 상도동,8,서울특별시 서초구 반포동,5,,,서울특별시 마포구 노고산동,12
서울특별시 동작구 신대방동,43,서울특별시 서초구 방배동,17,,,서울특별시 마포구 도화동,7
서울특별시 동작구 흑석동,10,서울특별시 서초구 서초동,34,,,서울특별시 마포구 동교동,13
서울특별시 마포구 공덕동,4,서울특별시 서초구 양재동,8,,,서울특별시 마포구 망원동,16
서울특별시 마포구 노고산동,4,서울특별시 서초구 잠원동,5,,,서울특별시 마포구 서교동,12
서울특별시 마포구 도화동,4,서울특별시 성동구 성수동1가,3,,,서울특별시 마포구 성산동,10
서울특별시 마포구 동교동,14,서울특별시 성동구 성수동2가,12,,,서울특별시 마포구 신수동,4
서울특별시 마포구 망원동,42,서울특별시 성북구 길음동,4,,,서울특별시 마포구 아현동,6
서울특별시 마포구 상수동,5,서울특별시 성북구 보문동1가,8,,,서울특별시 마포구 연남동,3
서울특별시 마포구 상암동,4,서울특별시 성북구 석관동,7,,,서울특별시 마포구 염리동,2
서울특별시 마포구 서교동,13,서울특별시 성북구 장위동,20,,,서울특별시 마포구 용강동,8
서울특별시 마포구 성산동,19,서울특별시 송파구 가락동,7,,,서울특별시 마포구 창전동,3
서울특별시 마포구 신수동,4,서울특별시 송파구 마천동,4,,,서울특별시 서대문구 남가좌동,15
서울특별시 마포구 연남동,19,서울특별시 송파구 방이동,4,,,서울특별시 서대문구 북가좌동,24
서울특별시 마포구 중동,4,서울특별시 송파구 석촌동,4,,,서울특별시 서대문구 북아현동,4
서울특별시 마포구 창전동,5,서울특별시 송파구 송파동,8,,,서울특별시 서대문구 연희동,16
서울특별시 마포구 합정동,6,서울특별시 양천구 목동,28,,,서울특별시 서대문구 영천동,13
서울특별시 서대문구 남가좌동,8,서울특별시 양천구 신월동,37,,,서울특별시 서대문구 창천동,5
서울특별시 서대문구 북가좌동,16,서울특별시 양천구 신정동,28,,,서울특별시 서대문구 현저동,3
서울특별시 서대문구 창천동,4,서울특별시 영등포구 당산동1가,5,,,서울특별시 서대문구 홍은동,34
서울특별시 서대문구 홍제동,5,서울특별시 영등포구 당산동2가,5,,,서울특별시 서대문구 홍제동,55
서울특별시 서초구 반포동,24,서울특별시 영등포구 당산동3가,4,,,서울특별시 서초구 방배동,37
서울특별시 서초구 방배동,20,서울특별시 영등포구 대림동,14,,,서울특별시 서초구 서초동,23
서울특별시 서초구 잠원동,22,서울특별시 영등포구 문래동3가,14,,,서울특별시 서초구 양재동,6
서울특별시 성동구 금호동4가,5,서울특별시 영등포구 신길동,43,,,서울특별시 서초구 잠원동,8
서울특별시 성동구 도선동,7,서울특별시 영등포구 양평동2가,3,,,서울특별시 성동구 금호동1가,9
