,사고 빈번수,사상자 위험도,사고 위험도,,,,
서울특별시 성북구 삼선동1가,8,주의,매우 위험,,,,
서울특별시 노원구 상계동,49,주의,,,,,
서울특별시 성북구 종암동,32,주의,매우 위험,,,,
서울특별시 강북구 번동,26,주의,위험,,,,
서울특별시 구로구 신도림동,4,주의,,,,,
서울특별시 송파구 오금동,8,주의,매우 위험,,,,
서울특별시 종로구 묘동,4,주의,위험,,,,
서울특별시 종로구 관훈동,3,주의,위험,,,,
서울특별시 중구 충무로4가,3,주의,위험,,,,
서울특별시 광진구 군자동,7,주의,위험,,,,
서울특별시 서초구 양재동,6,주의,위험,,,,
서울특별시 중구 흥인동,4,주의,위험,,,,
서울특별시 중구 소공동,3,주의,위험,,,,
서울특별시 성동구 용답동,12,주의,위험,,,,
서울특별시 용산구 한강로2가,3,주의,위험,,,,
서울특별시 은평구 수색동,2,주의,,,,,
서울특별시 구로구 고척동,12,주의,매우 위험,,,,
서울특별시 동대문구 청량리동,57,약간 위험,위험,,,,
서울특별시 서초구 서초동,23,주의,매우 위험,,,,
서울특별시 서대문구 홍은동,34,주의,위험,,,,
서울특별시 마포구 아현동,6,주의,위험,,,,
서울특별시 노원구 하계동,10,주의,약간 위험,,,,
서울특별시 성북구 동소문동1가,4,주의,위험,,,,
서울특별시 성북구 안암동3가,3,주의,매우 위험,,,,
서울특별시 영등포구 영등포동4가,11,약간 위험,위험,,,,
서울특별시 영등포구 당산동1가,11,주의,,,,,
서울특별시 서대문구 창천동,5,약간 위험,매우 위험,,,,
서울특별시 은평구 녹번동,10,주의,위험,,,,
서울특별시 송파구 마천동,15,약간 위험,위험,,,,
서울특별시 중구 인현동1가,3,주의,위험,,,,
서울특별시 도봉구 창동,32,주의,위험,,,,
서울특별시 중구 의주로1가,4,주의,위험,,,,
서울특별시 영등포구 영등포동,19,약간 위험,위험,,,,
서울특별시 동대문구 답십리동,14,주의,위험,,,,
서울특별시 마포구 노고산동,12,주의,위험,,,,
서울특별시 동대문구 휘경동,34,주의,매우 위험,,,,
서울특별시 동대문구 회기동,11,주의,매우 위험,,,,
서울특별시 은평구 역촌동,15,주의,위험,,,,
서울특별시 영등포구 여의도동,8,주의,약간 위험,,,,
서울특별시 서대문구 북가좌동,24,약간 위험,위험,,,,
서울특별시 마포구 용강동,8,주의,위험,,,,
서울특별시 마포구 창전동,3,주의,매우 위험,,,,
서울특별시 강동구 고덕동,7,주의,매우 위험,,,,
서울특별시 성동구 홍익동,3,주의,매우 위험,,,,
서울특별시 강남구 역삼동,7,주의,위험,,,,
서울특별시 강동구 명일동,23,주의,위험,,,,
서울특별시 동작구 상도1동,7,약간 위험,매우 위험,,,,
서울특별시 성북구 동소문동5가,15,약간 위험,위험,,,,
서울특별시 중구 을지로2가,5,약간 위험,위험,,,,
서울특별시 금천구 가산동,8,주의,매우 위험,,,,
서울특별시 마포구 구수동,4,주의,위험,,,,
서울특별시 중구 을지로6가,6,약간 위험,위험,,,,
서울특별시 종로구 종로3가,4,주의,위험,,,,
서울특별시 은평구 응암동,40,주의,,,,,
서울특별시 송파구 송파동,6,주의,위험,,,,
서울특별시 중랑구 묵동,15,주의,위험,,,,
서울특별시 송파구 문정동,11,주의,위험,,,,
서울특별시 종로구 사직동,3,주의,위험,,,,
서울특별시 강동구 명일동 대명초등학교 부근,3,주의,위험,,,,
서울특별시 영등포구 당산동5가,4,주의,위험,,,,
서울특별시 송파구 잠실동,13,주의,매우 위험,,,,
서울특별시 은평구 구산동,3,주의,위험,,,,
서울특별시 동작구 대방동,22,주의,,,,,
서울특별시 마포구 망원동,16,주의,매우 위험,,,,
서울특별시 광진구 광장동,5,약간 위험,위험,,,,
서울특별시 은평구 갈현동 갈현초등학교 부근,8,약간 위험,위험,,,,
서울특별시 종로구 관수동,10,약간 위험,위험,,,,
서울특별시 종로구 낙원동,12,약간 위험,위험,,,,
서울특별시 종로구 효제동,4,주의,위험,,,,
서울특별시 종로구 경운동,3,주의,,,,,
서울특별시 중구 산림동,4,주의,위험,,,,
서울특별시 중구 충무로3가,4,주의,매우 위험,,,,
서울특별시 중구 의주로2가,3,주의,위험,,,,
서울특별시 용산구 후암동,5,약간 위험,매우 위험,,,,
서울특별시 용산구 용산동3가,5,약간 위험,위험,,,,
서울특별시 용산구 보광동,7,주의,위험,,,,
서울특별시 용산구 갈월동,3,주의,위험,,,,
서울특별시 용산구 남영동,6,주의,위험,,,,
서울특별시 성동구 마장동,8,주의,매우 위험,,,,
서울특별시 영등포구 도림동,4,주의,매우 위험,,,,
서울특별시 영등포구 양평동2가,3,주의,매우 위험,,,,
서울특별시 성동구 옥수동,3,주의,위험,,,,
서울특별시 서대문구 북아현동,4,주의,매우 위험,,,,
서울특별시 서대문구 현저동,3,주의,매우 위험,,,,
서울특별시 마포구 서교동,12,약간 위험,위험,,,,
서울특별시 동작구 노량진동,8,주의,위험,,,,
서울특별시 마포구 연남동,3,주의,매우 위험,,,,
서울특별시 서초구 잠원동,8,약간 위험,매우 위험,,,,
서울특별시 구로구 가리봉동,12,주의,매우 위험,,,,
서울특별시 성북구 동선동4가,4,주의,매우 위험,,,,
서울특별시 구로구 궁동,4,주의,매우 위험,,,,
서울특별시 성동구 상왕십리동,4,주의,매우 위험,,,,
서울특별시 성동구 성수동2가,7,주의,위험,,,,
서울특별시 영등포구 영등포동6가,11,약간 위험,위험,,,,
서울특별시 용산구 이촌동,3,주의,위험,,,,
서울특별시 강남구 도곡동,17,주의,매우 위험,,,,
서울특별시 영등포구 양평동1가,3,주의,위험,,,,
서울특별시 중구 서소문동,2,주의,,,,,
서울특별시 용산구 효창동,4,주의,매우 위험,,,,
서울특별시 성동구 성수동1가,6,주의,매우 위험,,,,
서울특별시 성북구 동소문동4가,3,주의,매우 위험,,,,
서울특별시 성북구 동소문동6가,4,주의,위험,,,,
서울특별시 성북구 동선동2가,16,약간 위험,위험,,,,
서울특별시 성북구 동선동5가,3,주의,위험,,,,
서울특별시 성북구 안암동5가,5,주의,매우 위험,,,,
서울특별시 마포구 염리동,2,주의,매우 위험,,,,
서울특별시 성북구 상월곡동,4,주의,위험,,,,
서울특별시 종로구 종로5가,5,약간 위험,위험,,,,
서울특별시 성동구 응봉동,3,주의,매우 위험,,,,
서울특별시 송파구 풍납동,3,주의,매우 위험,,,,
서울특별시 강동구 암사동,8,약간 위험,위험,,,,
서울특별시 강서구 방화동,13,주의,매우 위험,,,,
서울특별시 영등포구 문래동6가,5,약간 위험,위험,,,,
서울특별시 송파구 방이동,3,주의,위험,,,,
서울특별시 송파구 신천,3,주의,매우 위험,,,,
서울특별시 강서구 공항동,3,주의,매우 위험,,,,
서울특별시 성동구 사근동,4,주의,매우 위험,,,,
서울특별시 종로구 내자동,3,주의,매우 위험,,,,
서울특별시 종로구 종로6가,3,주의,매우 위험,,,,
서울특별시 종로구 견지동,3,주의,위험,,,,
서울특별시 종로구 종로4가,3,주의,위험,,,,
서울특별시 중구 북창동,3,주의,매우 위험,,,,
서울특별시 용산구 용문동,3,주의,위험,,,,
